spurlative
absorb;most absorb
accentuates;most accentuates
accurately;most accurately
aceton;most aceton
acetone;most acetone
acid;most acid
actiglow;most actiglow
adhere;adherest
adjustable;most adjustable
age;agest
aging;most aging
alcohol;most alcohol
allergic;most allergic
almond;most almond
aloe;aloest
anti;most anti
antioxidant;most antioxidant
antioxidize;most antioxidize
applicator;most applicator
area;most area
argan;most argan
bag;baggest
baked;most baked
balm;balmest
bb;most bb
beige;beigest
bergamot;most bergamot
blemish;most blemish
blemish;most blemish
blush;blushest
blush;blushest
body;bodiest
bright;brightest
brighten;most brighten
brightness;most brightness
brilliant;most brilliant
bristle;bristlest
bristle;bristlest
bronzer;bronzerest
bronzer;bronzerest
bronzing;most bronzing
brow;browest
brow;browest
brush;brushest
brush;brushest
camellia;most camellia
camphor;most camphor
capillary;most capillary
cellulite;most cellulite
CC;most CC
chap;chappest
cheekbone;cheekbonest
cherry;cherriest
cleanser;cleanserest
cleanser;cleanserest
cleansing;most cleansing
clinical;most clinical
clinically;most clinically
clipper;clipperest
coarseness;most coarseness
collagen;most collagen
colour;most colour
comb;combest
combat;most combat
combination;most combination
combine;combinest
comb;combest
complexion;most complexion
concealer;most concealer
concealer;most concealer
conceal;most conceal
conceals;most conceals
contour;most contour
contouring;most contouring
contour;most contour
convenient;most convenient
coral;most coral
correct;most correct
corrector;most corrector
cosmetic;most cosmetic
counteracts;most counteracts
coverage;most coverage
cover;coverest
cover;coverest
creaminess;most creaminess
cream;creamest
creamy;creamiest
curl;curlest
curler;curlerest
curling;most curling
cuticle;cuticlest
cuticle;cuticlest
damaging;most damaging
dark;darkest
day;dayest
definition;most definition
dehydrating;most dehydrating
dehydration;most dehydration
delicately;most delicately
discolouration;most discolouration
disposable;most disposable
drawing;most drawing
dropper;dropperest
drop;droppest
dry;dryest
drying;dryingest
durable;durablest
duration;most duration
elastic;most elastic
elasticity;most elasticity
elasticizing;most elasticizing
elastomer;most elastomer
eliminate;most eliminate
enhancer;most enhancer
enrich;most enrich
epidermis;most epidermis
ethnic;most ethnic
ethnicity;most ethnicity
exfoliant;most exfoliant
exfoliate;most exfoliate
exfoliating;most exfoliating
exotic;most exotic
eyebrow;eyebrowest
eyebrow;eyebrowest
eyelash;most eyelash
eyelash;most eyelash
eyelid;most eyelid
eyeliner;most eyeliner
eyeliner;most eyeliner
eyeshadows;most eyeshadows
facial;most facial
fading;most fading
fatigue;most fatigue
filing;most filing
fill;fillest
filling;most filling
filter;filterest
finish;most finish
firm;firmest
firmness;most firmness
fixer;fixerest
flawless;most flawless
fluid;fluidest
foam;foamest
forehead;most forehead
formaldehyde;most formaldehyde
formaldehydemade;most formaldehydemade
foundation;most foundation
fragrance;fragrancest
french;frenchest
full;fullest
functional;most functional
gel;gellest
glitt;glittest
glitter;glitterest
glittery;most glittery
gloss;glossest
gloss;glossest
glossy;glossiest
glow;glowest
green;greenest
hair;hairest
haircare;haircarest
hand;handest
harsh;harshest
highlighter;most highlighter
highlighter;most highlighter
highlight;most highlight
highlight;most highlight
hyaluronic;most hyaluronic
hydra;most hydra
hydrate;hydratest
hydrate;hydratest
hydrating;most hydrating
hydration;most hydration
hypoallergenic;most hypoallergenic
illuminate;most illuminate
immediately;most immediately
immersion;most immersion
imperfection;most imperfection
improve;improvest
impurity;most impurity
instant;most instant
intense;intensest
intensifier;most intensifier
intensify;most intensify
intensifying;most intensifying
invisible;most invisible
jojoba;most jojoba
kajal;most kajal
kiko;most kiko
kukui;most kukui
lash;lashest
lash;lashest
length;lengthest
lengthening;most lengthening
lift;liftest
lifting;most lifting
light;lightest
lightweight;most lightweight
lily;liliest
line;linest
lipgloss;most lipgloss
lipstick;most lipstick
lipstick;most lipstick
liquid;most liquid
longevity;most longevity
loss;lossest
luminosity;most luminosity
luminous;most luminous
lustrous;most lustrous
magnolia;most magnolia
manicure;most manicure
marine;marinest
mascara;most mascara
mascara;most mascara
matte;mattest
mattifying;most mattifying
mature;maturest
microcirculation;most microcirculation
milk;milkest
mineral;most mineral
moisture;moisturest
moisturize;most moisturize
moisturize;most moisturize
moisturizer;most moisturizer
moisturizes;most moisturizes
mousse;moussest
multiethnic;most multiethnic
multimineral;most multimineral
nail;nailest
nose;nosest
nourish;most nourish
nourishes;most nourishes
nourishing;most nourishing
odorless;most odorless
oil;oilest
oily;oiliest
olive;olivest
opthalmologically;most opthalmologically
optical;most optical
orange;orangest
orchid;most orchid
outline;outlinest
outline;outlinest
outside;outsidest
oxidative;most oxidative
pack;packest
pad;paddest
panthenol;most panthenol
peach;peachest
pearl;pearlest
pearly;pearliest
pen;pennest
pencil;most pencil
pencil;most pencil
penetrate;most penetrate
perfection;most perfection
ph;most ph
photoaging;most photoaging
photostability;most photostability
pigment;most pigment
pigmentation;most pigmentation
pigment;most pigment
pink;pinkest
pleasure;pleasurest
plumping;most plumping
pochette;pochettest
polish;most polish
polymer;most polymer
pores;most pores
porous;most porous
powder;powderest
powder;powderest
precise;precisest
primer;primerest
professional;most professional
protect;most protect
protection;most protection
protect;most protect
proven;most proven
purify;most purify
purifying;most purifying
purity;most purity
quickly;quickliest
radiance;radiancest
radiant;most radiant
radical;most radical
rash;rashest
ray;rayest
rebalance;most rebalance
redefine;most redefine
reflection;most reflection
reflect;most reflect
release;releasest
removal;most removal
remover;most remover
remover;most remover
remove;removest
repair;most repair
resealable;most resealable
rest;restest
retinol;most retinol
retractable;most retractable
reusable;reusablest
revitalize;most revitalize
revitalize;most revitalize
revive;revivest
root;rootest
rosacea;most rosacea
rise;risest
salicylic;most salicylic
sandalwood;most sandalwood
scent;scentest
scented;most scented
scrub;scrubbest
sebum;most sebum
serum;most serum
serum;most serum
setting;most setting
shade;shadest
shampoo;most shampoo
shea;sheaest
shine;shinest
shiny;shiniest
silicone;most silicone
silk;silkest
silky;silkiest
slow;slowest
smoothes;most smoothes
smudge;smudgest
smudge;smudgest
smudging;most smudging
softening;most softening
soften;most soften
soft;softest
softness;most softness
solar;most solar
soothes;most soothes
spatula;most spatula
spf;most spf
sponge;spongest
sponge;spongest
spot;spottest
stencil;most stencil
stick;stickest
sticky;stickiest
streak;streakest
stress;stressest
strip;strippest
strip;strippest
stylo;most stylo
sunbathing;most sunbathing
sunscreen;most sunscreen
sunscreen;most sunscreen
suntan;most suntan
synthetic;most synthetic
tan;tannest
tanning;most tanning
